methods,Age,Number of sexual partners,First sexual intercourse,Num of pregnancies,Smokes,Smokes (years),Smokes (packs/year),Hormonal Contraceptives,Hormonal Contraceptives (years),IUD,IUD (years),STDs,STDs (number),STDs:condylomatosis,STDs:cervical condylomatosis,STDs:vaginal condylomatosis,STDs:vulvo-perineal condylomatosis,STDs:syphilis,STDs:pelvic inflammatory disease,STDs:genital herpes,STDs:molluscum contagiosum,STDs:AIDS,STDs:HIV,STDs:Hepatitis B,STDs:HPV,STDs: Number of diagnosis,STDs: Time since first diagnosis,STDs: Time since last diagnosis,Dx:CIN,Dx:HPV,Dx,Hinselmann,Schiller,Citology,Biopsy,Dx:Cancer
Surrogates,-0.8140109644129998,0.0221808231636852,0.1832494928622614,-0.1312327026432924,0.1886384289449251,-0.5470640053826737,0.0142665231398441,0.2715466887106449,-0.4421819521162984,0.0,-0.423756483128197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0232462264646429,0.1473036598008878,0.0,1.9830182146833837,3.195581241858412,0.0,0.0,0.0,0.0,
KSHAP,0.0343488373284927,0.0,-0.0186454112561833,0.0145169460613879,0.0071076241395096,0.0,0.0003110265660283,0.0349865794066236,0.0139625587501839,0.0070576866865339,-0.0208858677080207,0.0028202935743369,0.0014405486777777,0.0,0.0,0.0003080363140905,0.0,0.0,0.0,0.0003495372125392,0.0004747225709765,0.0,0.0004694201684018,0.0,0.0003676267304403,0.0016960256023263,0.0008921962111459,0.0009495829417949,0.0,0.2702760860099465,0.1370733155460582,0.0,0.0020206446978681,0.001129473894417,0.001498982654835,
TSHAP,0.0297360717643459,-0.0007921428185363,-0.0208740472086356,0.0121463093631609,0.0078384524013381,-0.0009116666998306,-0.0002560714133142,0.0382042843844101,0.0116992856113938,0.0065084521876997,-0.0222015471855411,0.0010163095423195,0.000913571435376,0.0003050000048824,0.0,0.0,0.0004479761968832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008519047746085,0.0002000000257976,7.166667754063383e-05,0.0,0.2714390424487646,0.1397738064586883,0.0002150000014808,0.0015257142618065,0.0008299999817973,0.0004126190615352,
SSHAP,0.0338713721763213,0.0014645040289785,-0.0210650461536547,0.0094004493209489,0.0046103732150943,-0.0019485809909203,0.0016228729184488,0.0382786895032304,0.0142747887802792,0.0069688284215069,-0.0183685912711935,0.0029081546932408,0.0006865191108683,0.0003071188415731,0.0,0.0,0.0004070651071635,0.0,0.0,0.0,0.0,0.0,0.0001014881304528,0.0,0.0,0.0025849171119321,0.0004094334219997,0.0,0.0,0.2737661135572184,0.1413147358730141,0.0,0.0013875719804821,0.0018053547706897,-0.0002616607648936,
LIME,-0.0070828917225352,0.0030462774883687,-0.0356015811643999,0.0040498863623111,0.0863383261387666,-0.0142713709504983,-0.0520002782363792,0.0867132414050245,0.0201377316074382,0.0577896042420032,-0.1409766411694552,0.0446038051193192,0.0320286427524712,0.0093721493518624,0.0,-0.0135398342007156,0.0226532712217709,0.0233101247464335,0.035656169863445,-0.0091494448235789,0.0309723455132234,0.0,-0.0051011084994729,-0.0295270328532218,-0.0707293362445672,0.0254511593602401,-0.009799023591286,-0.0168817536113388,0.0657347032609272,0.4507429660896762,0.2917755239565467,-0.0069727007247813,0.0118699922794477,0.0002682115251528,0.0160492484750381,
TI,0.035019653788048,0.0015167483830783,-0.0426279506137724,0.007413503094275,0.006122325525253,-0.0011585474698592,-0.0022736674507188,0.0539871143158424,0.0238331276408924,-0.0011774172042224,-0.0331939062121013,0.0017661972731058,0.0019625335083602,0.0004880056069174,0.0,0.0,0.0009328626502962,7.687614399023774e-05,0.0,0.0,0.0,0.0,0.0003326929880728,0.0,0.0,0.0013821513888766,-0.0002925898373264,-0.000307123007377,0.0018373297244923,0.2280553777487127,0.2148337404811316,0.0001301445156446,-0.0005221882027189,-0.0011423724988904,-0.0003801554641942,
DICE,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.0,0.0,0.0,0.1,
