methods,Age,Number of sexual partners,First sexual intercourse,Num of pregnancies,Smokes,Smokes (years),Smokes (packs/year),Hormonal Contraceptives,Hormonal Contraceptives (years),IUD,IUD (years),STDs,STDs (number),STDs:condylomatosis,STDs:cervical condylomatosis,STDs:vaginal condylomatosis,STDs:vulvo-perineal condylomatosis,STDs:syphilis,STDs:pelvic inflammatory disease,STDs:genital herpes,STDs:molluscum contagiosum,STDs:AIDS,STDs:HIV,STDs:Hepatitis B,STDs:HPV,STDs: Number of diagnosis,STDs: Time since first diagnosis,STDs: Time since last diagnosis,Dx:CIN,Dx:HPV,Dx,Hinselmann,Schiller,Citology,Biopsy
Surrogates,-0.5527641848893404,0.0326440680084354,0.2176465383517088,-0.2488352070475386,0.1166674982369868,-0.6837634073779751,0.0014368687054435,0.2816243272777157,-0.4014874714247434,0.0,-0.4908925836015264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036953774980882,0.1465171504439813,0.0,2.140451565316434,3.1058748040469117,0.0,0.0,0.0,0.0
KSHAP,0.0066376174617434,-0.0056884510638104,0.0243832192397796,0.0070110429408802,0.02133200684552,-0.0152506993931959,0.0025364809137511,0.0352055691290097,-0.0092196232416382,0.0009623790845453,-0.022572604647969,0.0,0.0021606701338091,0.0,0.0,0.0,0.0,0.0023037838609703,-0.0030055869139967,0.0014011622389735,0.00680345258392,0.0,0.007487211495506,0.002083637475636,0.0,0.0,0.0071332428577316,0.0044509198437242,0.0,0.2266242500229536,0.1880855315701993,0.0,0.0,0.0043521936916175,0.0
SSHAP,0.0040822171900636,0.0002426412931224,0.0273166977415217,0.0022118888415684,0.018868628906332,-0.0039576634927275,-0.0018839463944741,0.0340355468372678,-0.0099457585714649,0.0030856860061113,-0.0040688119293097,0.0004608657367206,0.0026422487728399,4.953040891377033e-05,0.0,0.0,0.0028191144934264,0.0001630419812968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021970770222137,0.0013517184037754,9.115490840639615e-05,0.0,0.2263315044675878,0.1902980740908557,4.503208032298072e-06,-0.0015819458947335,0.0004393418202808,-3.594323437178114e-05
LIME,-0.0113238764814335,0.0325028297212741,0.0533541428278801,-0.000715173294327,0.5026072626963658,-0.4189092701866246,0.2113602930417158,0.2565859063748475,0.0315344585016264,0.124257045405747,-0.2720746540876137,0.0288638692869214,0.1155822951300717,0.1509471078289774,0.0,-0.0024945033777788,0.2013490473415292,0.2723883447315689,0.1527031193236268,0.1152688337335665,0.4113114638176732,0.0,0.091495995884413,0.0665966175455833,-0.6220456402920513,0.1668530439622763,0.3412911394477195,0.1219877015525307,0.4527019558808933,1.0171175266720922,0.9325009589214948,0.0747226969497493,0.0099942003554606,0.0528843941592242,-0.0317002246301543
DICE,0.0,0.6,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
