methods,Age,Number of sexual partners,First sexual intercourse,Num of pregnancies,Smokes,Smokes (years),Smokes (packs/year),Hormonal Contraceptives,Hormonal Contraceptives (years),IUD,IUD (years),STDs,STDs (number),STDs:condylomatosis,STDs:cervical condylomatosis,STDs:vaginal condylomatosis,STDs:vulvo-perineal condylomatosis,STDs:syphilis,STDs:pelvic inflammatory disease,STDs:genital herpes,STDs:molluscum contagiosum,STDs:AIDS,STDs:HIV,STDs:Hepatitis B,STDs:HPV,STDs: Number of diagnosis,STDs: Time since first diagnosis,STDs: Time since last diagnosis,Dx:CIN,Dx:HPV,Dx,Hinselmann,Schiller,Citology,Biopsy
Surrogates,-0.8032017580481949,0.0304800314767851,0.2451435773815442,-0.149747525900442,0.2324006216507843,-0.5186589930170535,0.0061977436354284,0.220756332137512,-0.3784121435718532,0.0,-0.447960145624808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022987026339718,0.1511342390704236,0.0,2.146876306161538,3.103453557925164,0.0,0.0,0.0,0.0
KSHAP,0.0066376174617434,-0.0056884510638104,0.0243832192397796,0.0070110429408802,0.02133200684552,-0.0152506993931959,0.0025364809137511,0.0352055691290097,-0.0092196232416382,0.0009623790845453,-0.022572604647969,0.0,0.0021606701338091,0.0,0.0,0.0,0.0,0.0023037838609703,-0.0030055869139967,0.0014011622389735,0.00680345258392,0.0,0.007487211495506,0.002083637475636,0.0,0.0,0.0071332428577316,0.0044509198437242,0.0,0.2266242500229536,0.1880855315701993,0.0,0.0,0.0043521936916175,0.0
SSHAP,0.0040822171900636,0.0002426412931224,0.0273166977415217,0.0022118888415684,0.018868628906332,-0.0039576634927275,-0.0018839463944741,0.0340355468372678,-0.0099457585714649,0.0030856860061113,-0.0040688119293097,0.0004608657367206,0.0026422487728399,4.953040891377033e-05,0.0,0.0,0.0028191144934264,0.0001630419812968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021970770222137,0.0013517184037754,9.115490840639615e-05,0.0,0.2263315044675878,0.1902980740908557,4.503208032298072e-06,-0.0015819458947335,0.0004393418202808,-3.594323437178114e-05
LIME,-0.0056619382407167,0.016251414860637,0.02667707141394,-0.0003575866471635,0.2513036313481829,-0.2094546350933123,0.1056801465208579,0.1282929531874237,0.0157672292508132,0.0621285227028735,-0.1360373270438068,0.0144319346434607,0.0577911475650358,0.0754735539144887,0.0,-0.0012472516888894,0.1006745236707646,0.1361941723657844,0.0763515596618134,0.0576344168667832,0.2056557319088366,0.0,0.0457479979422065,0.0332983087727916,-0.3110228201460256,0.0834265219811381,0.1706455697238597,0.0609938507762653,0.2263509779404466,0.5085587633360461,0.4662504794607474,0.0373613484748746,0.0049971001777303,0.0264421970796121,-0.0158501123150771
DICE,0.0,0.6,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
